State,x,y
Andhra Pradesh,-85,-183
Arunachal Pradesh,315,206
Assam,236,138
Bihar,77,119
Chhattisgarh,-22,-4
Goa,-218,-159
Gujarat,-321,54
Haryana,-158,207
Himachal Pradesh,-130,285
Jammu And Kashmir,-196,337
Jharkhand,59,57
Karnataka,-190,-187
Kerala,-158,-287
Madhya Pradesh,-118,48
Maharashtra,-185,-59
Manipur,274,91
Meghalaya,197,109
Mizoram,254,37
Nagaland,292,129
Odisha,44,-35
Punjab,-174,254
Rajasthan,-239,133
Sikkim,139,167
Tamil Nadu,-101,-283
Telangana,-88,-100
Tripura,219,60
Uttarakhand,-84,238
Uttar Pradesh,-41,149
West Bengal,125,49
